Date|Open|High|Low|Close|Volume|Change
2018-08-10|46150|46400|44850|45400|16670643|-0.031982942430703654
2018-08-13|44950|45100|44650|45050|9803831|-0.00770925110132159
2018-08-14|44850|45400|44850|45150|6409259|0.002219755826859071
2018-08-16|43800|44650|43700|44250|10088229|-0.019933554817275767
2018-08-17|44050|44400|44050|44100|6808747|-0.003389830508474523
2018-08-20|43500|44200|43500|43850|7289124|-0.005668934240362855
2018-08-21|43700|44900|43700|44800|9520270|0.02166476624857472
2018-08-22|45150|46200|44900|46100|11641656|0.029017857142857206
2018-08-23|46150|46200|45700|46200|6730918|0.002169197396963085
2018-08-24|45900|46400|45550|46150|6582535|-0.0010822510822511289
2018-08-27|46100|46550|46000|46300|5263782|0.003250270855904569
2018-08-28|46800|46950|46300|46550|7365976|0.005399568034557323
2018-08-29|46750|46800|46400|46800|5572374|0.005370569280343629
2018-08-30|46950|47950|46700|47650|12193231|0.018162393162393098
2018-08-31|47100|48450|47000|48450|13577454|0.016789087093389332
2018-09-03|48200|48300|47300|47450|8595084|-0.02063983488132093
2018-09-04|47550|47800|47200|47650|6791255|0.004214963119072657
2018-09-05|47300|47450|46400|46600|9139998|-0.022035676810073457
2018-09-06|46200|46400|45800|46100|9040553|-0.010729613733905574
2018-09-07|44500|45200|44400|44900|18285508|-0.026030368763557465
2018-09-10|45450|45550|45000|45500|9979838|0.013363028953229383
2018-09-11|45550|45900|45050|45050|9865790|-0.009890109890109855
2018-09-12|44900|45100|44500|44550|12995269|-0.011098779134295245
2018-09-13|44550|44750|44000|44050|18277942|-0.011223344556677839
2018-09-14|45000|45850|44900|45850|12446344|0.04086265607264483
2018-09-17|45550|45800|44900|45150|8123384|-0.01526717557251911
2018-09-18|44950|45900|44700|45500|9987090|0.007751937984496138
2018-09-19|46000|46200|45700|46150|9367454|0.014285714285714235
2018-09-20|46850|47600|46400|47250|13536966|0.02383531960996743
2018-09-21|46550|47550|46550|47400|14476906|0.0031746031746031633
2018-09-27|46950|47500|46450|47500|15804586|0.0021097046413502962
2018-09-28|47250|47250|46300|46450|11270515|-0.02210526315789474
2018-10-01|46450|46800|45800|46350|6354983|-0.0021528525296017342
2018-10-02|46450|46700|45700|45700|6607188|-0.014023732470334394
2018-10-04|45150|45600|44700|44700|11865327|-0.021881838074398252
2018-10-05|44800|45500|44550|44700|10544165|0.0
2018-10-08|44200|45200|44200|44950|6759464|0.005592841163311046
2018-10-10|45250|45500|44500|45300|10341349|0.007786429365962189
2018-10-11|44000|44650|43100|43100|19324537|-0.04856512141280356
2018-10-12|43200|44650|43200|44000|12640906|0.02088167053364276
2018-10-15|44050|44050|43350|43800|7434522|-0.004545454545454519
2018-10-16|43700|44150|43350|43600|6825677|-0.004566210045662156
2018-10-17|44150|44500|44000|44150|8306193|0.012614678899082632
2018-10-18|43950|44450|43700|44050|8347725|-0.0022650056625141968
2018-10-19|43900|44150|43450|43900|7842520|-0.0034052213393870323
